,user_id,clusters_portion_liked,clusters_portion_disliked,cluster_number
42,52,"[0.041666666666666664, 0.16666666666666666, 0.125, 0.08333333333333333, 0.2916666666666667, 0.08333333333333333, 0.041666666666666664, 0.16666666666666666, 0.0, 0.0]","[0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.2857142857142857, 0.09523809523809523, 0.19047619047619047, 0.14285714285714285, 0.0, 0.0]",4
43,53,"[0.0379746835443038, 0.08227848101265822, 0.006329113924050633, 0.06329113924050633, 0.10759493670886076, 0.25949367088607594, 0.04430379746835443, 0.056962025316455694, 0.14556962025316456, 0.1962025316455696]","[0.042105263157894736, 0.021052631578947368, 0.021052631578947368, 0.010526315789473684, 0.09473684210526316, 0.6, 0.05263157894736842, 0.10526315789473684, 0.05263157894736842, 0.0]",1
44,16,"[0.052100840336134456, 0.07563025210084033, 0.01680672268907563, 0.11428571428571428, 0.06554621848739496, 0.2857142857142857, 0.0453781512605042, 0.05378151260504202, 0.12605042016806722, 0.16470588235294117]","[0.1036036036036036, 0.03153153153153153, 0.006006006006006006, 0.028528528528528527, 0.07057057057057058, 0.539039039039039, 0.028528528528528527, 0.057057057057057055, 0.06756756756756757, 0.06756756756756757]",1
45,9,"[0.125, 0.041666666666666664, 0.20833333333333334, 0.041666666666666664, 0.2916666666666667, 0.125, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.13793103448275862, 0.034482758620689655, 0.034482758620689655, 0.06896551724137931, 0.6551724137931034, 0.06896551724137931, 0.0, 0.0, 0.0, 0.0]",4
46,54,"[0.08695652173913043, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.30434782608695654, 0.08695652173913043, 0.13043478260869565, 0.08695652173913043, 0.13043478260869565]","[0.16666666666666666, 0.08333333333333333, 0.25, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0]",1
47,55,"[0.057971014492753624, 0.09565217391304348, 0.020289855072463767, 0.08115942028985507, 0.06666666666666667, 0.34202898550724636, 0.05507246376811594, 0.028985507246376812, 0.1072463768115942, 0.14492753623188406]","[0.11920529801324503, 0.039735099337748346, 0.026490066225165563, 0.07947019867549669, 0.5298013245033113, 0.026490066225165563, 0.033112582781456956, 0.0728476821192053, 0.0728476821192053, 0.0]",1
48,56,"[0.061224489795918366, 0.16326530612244897, 0.030612244897959183, 0.1326530612244898, 0.01020408163265306, 0.09183673469387756, 0.02040816326530612, 0.05102040816326531, 0.17346938775510204, 0.2653061224489796]","[0.07547169811320754, 0.11320754716981132, 0.05660377358490566, 0.1509433962264151, 0.4339622641509434, 0.018867924528301886, 0.018867924528301886, 0.1320754716981132, 0.0, 0.0]",2
49,57,"[0.01, 0.08, 0.08, 0.11, 0.06, 0.11, 0.01, 0.04, 0.22, 0.28]","[0.0784313725490196, 0.0196078431372549, 0.00980392156862745, 0.0392156862745098, 0.06862745098039216, 0.43137254901960786, 0.0784313725490196, 0.0784313725490196, 0.08823529411764706, 0.10784313725490197]",2
50,58,"[0.3076923076923077, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5
51,17,"[0.06521739130434782, 0.08695652173913043, 0.021739130434782608, 0.06521739130434782, 0.043478260869565216, 0.45652173913043476, 0.021739130434782608, 0.043478260869565216, 0.10869565217391304, 0.08695652173913043]","[0.24242424242424243, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.6363636363636364, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0]",1
52,59,"[0.1111111111111111, 0.05555555555555555, 0.05555555555555555, 0.013888888888888888, 0.06944444444444445, 0.4305555555555556, 0.041666666666666664, 0.1111111111111111, 0.1111111111111111, 0.0]","[0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.16666666666666666, 0.027777777777777776, 0.4722222222222222, 0.027777777777777776, 0.08333333333333333, 0.05555555555555555, 0.08333333333333333]",1
