user_id,content_id,engagement_value
1,38318,0.0
1,74487,0.0
1,78133,0.0
1,80916,0.0
1,89403,0.0
1,113832,0.0
1,120147,0.0
1,121188,0.0
1,129796,0.0
1,31783,0.0
1,38501,0.0
1,47021,0.0
1,60484,0.0
1,66527,0.0
1,68149,0.0
1,71912,0.0
1,79675,0.0
1,117690,0.0
1,129829,0.0
1,42745,0.0
1,63343,0.0
1,77737,0.0
1,28862,0.0
1,52478,0.0
1,74570,0.0
1,70148,0.0
1,99140,0.0
1,100972,0.0
1,30308,0.0
1,36866,0.0
4,36895,0.0
4,39727,1.0
4,75493,0.0
4,97499,1.0
4,128585,0.0
4,29695,0.0
4,49861,0.0
4,82923,0.0
4,97896,1.0
4,127102,1.0
4,51122,0.0
4,74140,1.0
4,90184,1.0
5,29319,1.0
5,38871,0.0
5,40323,1.0
5,53952,0.0
5,54002,0.0
5,57834,0.0
5,67192,0.0
5,82909,0.0
5,99602,1.0
5,129234,1.0
5,42708,0.0
5,61774,1.0
5,65850,1.0
5,76406,1.0
5,88656,1.0
5,96294,1.0
5,100122,1.0
5,101416,1.0
5,114010,1.0
5,114411,1.0
5,29695,1.0
5,30482,1.0
5,33072,0.0
5,33573,1.0
5,62530,1.0
5,71560,1.0
5,120396,1.0
5,128856,0.0
5,135744,1.0
5,37152,0.0
5,42954,0.0
5,46356,0.0
5,47669,1.0
5,50972,0.0
5,52097,0.0
5,56721,0.0
5,91742,1.0
5,94634,1.0
5,97499,1.0
5,36151,1.0
5,41422,1.0
5,55859,1.0
5,76136,1.0
5,93035,1.0
5,42561,0.0
5,42493,0.0
5,42933,0.0
5,84158,0.0
5,29862,0.0
5,121627,0.0
5,72848,0.0
5,88446,0.0
5,47835,0.0
5,49856,0.0
5,96687,0.0
5,80540,0.0
5,75298,0.0
5,99642,0.0
5,33361,0.0
5,31076,0.0
5,121265,0.0
5,113604,0.0
5,61038,0.0
5,73482,0.0
5,74862,0.0
5,116244,0.0
5,113360,0.0
5,59831,0.0
5,35488,0.0
5,69758,0.0
5,99310,0.0
6,30887,0.0
6,28862,0.0
8,40262,1.0
8,57073,1.0
8,69048,1.0
8,70075,0.0
8,70601,0.0
8,35053,1.0
8,47534,1.0
8,50647,1.0
8,62821,1.0
8,71895,1.0
8,92958,1.0
8,104631,1.0
8,126765,1.0
8,131164,1.0
8,36834,1.0
8,54045,1.0
8,63229,1.0
8,73322,1.0
8,101708,1.0
8,102527,0.0
8,108052,1.0
8,118721,1.0
8,124575,1.0
8,46416,1.0
8,49004,1.0
8,53480,1.0
8,60080,1.0
8,60869,1.0
8,61963,1.0
8,112927,1.0
8,128940,1.0
8,33580,1.0
8,44651,1.0
8,55339,1.0
8,61693,1.0
8,63560,1.0
8,66681,1.0
8,74516,1.0
8,78237,1.0
8,90800,1.0
8,127960,1.0
8,31339,1.0
8,46020,1.0
8,65616,1.0
8,86610,1.0
8,86869,1.0
8,96693,1.0
8,102276,0.0
8,103682,1.0
8,107162,1.0
8,129333,1.0
8,63092,1.0
8,73482,0.0
8,80877,0.0
8,92663,0.0
8,94231,0.0
8,99602,0.0
8,100172,0.0
8,118987,0.0
8,126454,0.0
8,126647,0.0
8,31076,0.0
8,40842,0.0
8,41104,0.0
8,49053,0.0
8,49593,0.0
8,58695,0.0
8,63189,0.0
8,80473,0.0
8,91282,0.0
8,54724,0.0
8,68073,0.0
8,85696,0.0
8,86435,0.0
8,86856,0.0
8,94465,0.0
8,95252,0.0
8,106255,0.0
8,124234,0.0
8,134502,0.0
8,51278,0.0
8,63605,0.0
