"id","user_id","content_id","engagement_type","engagement_value","created_date"
"252","5","29695","MillisecondsEngagedWith","14649","2022-11-09 11:28:33"
"253","5","30482","Like","1","2022-11-09 11:28:46"
"254","5","30482","MillisecondsEngagedWith","17950","2022-11-09 11:28:51"
"255","5","57834","MillisecondsEngagedWith","3899","2022-11-09 11:29:08"
"256","5","40323","MillisecondsEngagedWith","1399","2022-11-09 11:29:19"
"257","5","33072","Like","-1","2022-11-09 11:29:33"
"258","5","33072","MillisecondsEngagedWith","9033","2022-11-09 11:29:36"
"259","5","33573","Like","1","2022-11-09 11:29:50"
"260","5","33573","MillisecondsEngagedWith","16899","2022-11-09 11:29:54"
"261","5","61774","MillisecondsEngagedWith","7518","2022-11-09 11:30:02"
"262","5","62530","Like","1","2022-11-09 11:30:07"
"263","5","62530","MillisecondsEngagedWith","8501","2022-11-09 11:30:11"
"264","5","71560","Like","1","2022-11-09 11:30:16"
"265","5","71560","MillisecondsEngagedWith","7534","2022-11-09 11:30:19"
"266","5","120396","Like","1","2022-11-09 11:30:22"
"267","5","120396","MillisecondsEngagedWith","7400","2022-11-09 11:30:27"
"268","5","128856","Like","-1","2022-11-09 11:30:31"
"269","5","128856","MillisecondsEngagedWith","8234","2022-11-09 11:30:35"
"270","5","135744","MillisecondsEngagedWith","7933","2022-11-09 11:30:44"
"271","5","37152","Like","-1","2022-11-09 11:30:48"
"272","5","37152","MillisecondsEngagedWith","7516","2022-11-09 11:30:51"
"273","5","135744","Like","1","2022-11-09 11:30:56"
"274","5","135744","MillisecondsEngagedWith","8818","2022-11-09 11:31:01"
"275","5","42954","MillisecondsEngagedWith","63368","2022-11-09 11:32:06"
"276","5","42954","Like","-1","2022-11-09 11:32:10"
"277","5","46356","MillisecondsEngagedWith","3533","2022-11-09 11:32:17"
"278","5","46356","Like","-1","2022-11-09 11:32:20"
"279","5","47669","Like","1","2022-11-09 11:32:29"
"280","5","47669","MillisecondsEngagedWith","8650","2022-11-09 11:32:32"
"281","5","50972","Like","-1","2022-11-09 11:32:38"
"282","5","50972","MillisecondsEngagedWith","8416","2022-11-09 11:32:41"
"283","5","52097","Like","-1","2022-11-09 11:32:51"
"284","5","52097","MillisecondsEngagedWith","12367","2022-11-09 11:32:54"
"285","5","56721","Like","-1","2022-11-09 11:32:58"
"286","5","56721","MillisecondsEngagedWith","6718","2022-11-09 11:33:01"
"287","5","91742","Like","1","2022-11-09 11:33:10"
"288","5","91742","MillisecondsEngagedWith","11417","2022-11-09 11:33:13"
"289","5","94634","Like","1","2022-11-09 11:33:18"
"290","5","94634","MillisecondsEngagedWith","7917","2022-11-09 11:33:21"
"291","5","97499","Like","1","2022-11-09 11:33:23"
"292","5","97499","MillisecondsEngagedWith","5966","2022-11-09 11:33:27"
"293","5","36151","Like","1","2022-11-09 11:33:36"
"294","5","36151","MillisecondsEngagedWith","11285","2022-11-09 11:33:40"
"295","5","41422","Like","1","2022-11-09 11:33:43"
"296","5","41422","MillisecondsEngagedWith","8016","2022-11-09 11:33:56"
"297","5","55859","Like","1","2022-11-09 11:33:59"
"298","5","76136","Like","1","2022-11-09 11:34:05"
"299","5","76136","MillisecondsEngagedWith","4869","2022-11-09 11:34:07"
"300","5","93035","Like","1","2022-11-09 11:34:09"
"301","5","93035","MillisecondsEngagedWith","4117","2022-11-09 11:34:12"
"302","5","42561","MillisecondsEngagedWith","3246","2022-11-09 11:34:24"
"303","5","42493","MillisecondsEngagedWith","1914","2022-11-09 11:34:31"
"304","5","42933","Like","-1","2022-11-09 11:34:35"
